V,alpha_deg,theta_deg,beta_trim_deg,T_trim_each_N,T_total_N,delta_e_deg,solver_success,residual_norm
0,0.0,0.0,0.0,49.03325,294.1995,0.0,1,3.0189664486177756e-17
1,0.000938021242182751,0.000938021242182751,0.007213114843492394,49.007677371071644,294.04606422642985,1.437945255669391e-10,1,4.393582437162286e-13
2,0.0036907859372704186,0.0036907859372704186,0.028838703513964777,48.930847635427085,293.5850858125625,2.6562264315818247e-08,1,4.271589405533157e-11
3,0.008084080510321013,0.008084080510321013,0.06484511758777385,48.80244370870852,292.81466225225114,2.738426739764813e-08,1,4.752125752967973e-10
4,0.013853796059835858,0.013853796059835858,0.11520577024071955,48.621993307044164,291.731959842265,2.9852357961073595e-05,1,6.5013175624945235e-09
5,0.020700284264032774,0.020700284264032774,0.17995490384540752,48.38893732621408,290.33362395728443,4.782133842598695e-09,1,8.805227487189285e-13
6,0.02828753458628301,0.02828753458628301,0.2591874837904547,48.102700003757654,288.6162000225459,2.8293669061384295e-07,1,5.4483234835167185e-11
7,0.03631103806186199,0.03631103806186199,0.35313278825190497,47.762748428712335,286.576490572274,6.612691054987054e-06,1,1.4131158695667683e-09
8,0.04450800455403981,0.04450800455403981,0.4621714123513688,47.36863102713291,284.21178616279747,2.714802372232631e-09,1,4.895847823024899e-13
9,0.05265482554974612,0.05265482554974612,0.5868419600722091,46.92000348976788,281.5200209386073,1.7180091428076114e-07,1,3.078419862218775e-11
10,0.06058564307487377,0.06058564307487377,0.7278740756080453,46.41663066211563,278.49978397269376,3.6280943392504024e-06,1,6.435368507757803e-10
11,0.06817191534122978,0.06817191534122978,0.8861835878490288,45.85839216533327,275.1503529919996,3.0613147331632706e-05,1,5.386313445581215e-09
12,0.07530969464139546,0.07530969464139546,1.0628787124172967,45.245289709164695,271.47173825498817,0.00012424646482880075,1,2.176248761282656e-08
13,0.0819443725993748,0.0819443725993748,1.2593132632572919,44.57741009853946,267.46446059123673,0.00028789560096922803,1,5.0326219932613825e-08
14,0.08810652119739643,0.08810652119739643,1.4771652747520176,43.85482617250898,263.1289570350539,0.0004341422606486476,1,7.583232008939151e-08
15,0.09378907819438573,0.09378907819438573,1.7183346874764593,43.07772970471241,258.4663782282745,0.0005801213326319977,1,1.0130254864052263e-07
16,0.098715100859651,0.098715100859651,1.9846706001676542,42.246995003382594,253.48197002029556,0.0011252217019432395,1,1.9647165458430414e-07
17,0.10444990457290457,0.10444990457290457,2.2808906253511974,41.35930555551056,248.15583333306336,2.6264278606437156e-06,1,4.859413342748128e-10
18,0.10895252730627579,0.10895252730627579,2.6072911368739495,40.419643362347735,242.51786017408642,8.954271984054854e-06,1,1.6002672500107046e-09
19,0.11307277709785649,0.11307277709785649,2.968573429868084,39.42657556495647,236.55945338973885,2.0662708267220985e-05,1,3.6394263217326967e-09
20,0.11687182530741737,0.11687182530741737,3.3690475367433534,38.38042222566048,230.2825333539629,4.2337292254649996e-07,1,9.120068954939466e-11
21,0.12033089672712123,0.12033089672712123,3.8136832302182673,37.281836236324146,223.69101741794486,5.220034766997642e-06,1,1.0774290075548946e-09
22,0.1234728412535625,0.1234728412535625,4.308478712828301,36.13144329654664,216.78865977927984,3.8456130308094046e-05,1,7.495390557804227e-09
23,0.12641472723380148,0.12641472723380148,4.860842975815837,34.92953260620786,209.57719563724714,1.8492325783240914e-07,1,1.180457350145024e-10
24,0.1290510559021115,0.1290510559021115,5.479228536254564,33.67750862842431,202.0650517705459,3.202609666891751e-05,1,6.330211401543497e-09
25,0.13152930438941987,0.13152930438941987,6.174571956442595,32.375746104259086,194.2544766255545,1.6893392141081818e-07,1,3.410547814370629e-11
