V,alpha_deg,theta_deg,beta_trim_deg,T_trim_each_N,T_total_N,Fx_prop,Fz_prop,Lift,Drag,gamma_A,gamma_T,elevator_trim_deg,solver_success,residual_norm,sigma_min
0,0.0,0.0,0.0,49.03325,294.1995,0.00,-294.20,-0.00,-0.00,0.0000,1.0000,0.0,1,3.02e-17,0.541655
1,0.000938021242182751,0.000938021242182751,0.007213114843492394,49.007677371071644,294.04606422642985,0.04,-294.05,0.15,0.03,0.0000,0.9995,1.437945255669391e-10,1,4.39e-13,0.541655
2,0.0036907859372704186,0.0036907859372704186,0.028838703513964777,48.930847635427085,293.5850858125625,0.15,-293.59,0.61,0.13,0.0000,0.9979,2.6562264315818247e-08,1,4.27e-11,0.541657
3,0.008084080510321013,0.008084080510321013,0.06484511758777385,48.80244370870852,292.81466225225114,0.33,-292.81,1.39,0.29,0.0000,0.9953,2.738426739764813e-08,1,4.75e-10,0.541665
4,0.013853796059835858,0.013853796059835858,0.11520577024071955,48.621993307044164,291.731959842265,0.59,-291.73,2.47,0.52,0.0000,0.9916,2.9852357961073595e-05,1,6.50e-09,0.541688
5,0.020700284264032774,0.020700284264032774,0.17995490384540752,48.38893732621408,290.33362395728443,0.91,-290.33,3.87,0.81,0.0000,0.9869,4.782133842598695e-09,1,8.81e-13,0.541737
6,0.02828753458628301,0.02828753458628301,0.2591874837904547,48.102700003757654,288.6162000225459,1.31,-288.61,5.59,1.16,0.0000,0.9810,2.8293669061384295e-07,1,5.45e-11,0.541825
7,0.03631103806186199,0.03631103806186199,0.35313278825190497,47.762748428712335,286.576490572274,1.77,-286.57,7.63,1.58,0.0000,0.9741,6.612691054987054e-06,1,1.41e-09,0.541970
8,0.04450800455403981,0.04450800455403981,0.4621714123513688,47.36863102713291,284.21178616279747,2.29,-284.20,10.00,2.06,0.0000,0.9660,2.714802372232631e-09,1,4.90e-13,0.542192
9,0.05265482554974612,0.05265482554974612,0.5868419600722091,46.92000348976788,281.5200209386073,2.88,-281.51,12.69,2.61,0.0000,0.9569,1.7180091428076114e-07,1,3.08e-11,0.542514
10,0.06058564307487377,0.06058564307487377,0.7278740756080453,46.41663066211563,278.49978397269376,3.54,-278.48,15.72,3.23,0.0000,0.9466,3.6280943392504024e-06,1,6.44e-10,0.542961
11,0.06817191534122978,0.06817191534122978,0.8861835878490288,45.85839216533327,275.1503529919996,4.26,-275.12,19.08,3.91,0.0000,0.9351,3.0613147331632706e-05,1,5.39e-09,0.543559
12,0.07530969464139546,0.07530969464139546,1.0628787124172967,45.245289709164695,271.47173825498817,5.04,-271.43,22.77,4.65,0.0000,0.9226,0.00012424646482880075,1,2.18e-08,0.544338
13,0.0819443725993748,0.0819443725993748,1.2593132632572919,44.57741009853946,267.46446059123673,5.88,-267.40,26.80,5.46,0.0000,0.9089,0.00028789560096922803,1,5.03e-08,0.545326
14,0.08810652119739643,0.08810652119739643,1.4771652747520176,43.85482617250898,263.1289570350539,6.78,-263.04,31.16,6.33,0.0000,0.8941,0.0004341422606486476,1,7.58e-08,0.546553
15,0.09378907819438573,0.09378907819438573,1.7183346874764593,43.07772970471241,258.4663782282745,7.75,-258.35,35.85,7.27,0.0000,0.8781,0.0005801213326319977,1,1.01e-07,0.548046
16,0.098715100859651,0.098715100859651,1.9846706001676542,42.246995003382594,253.48197002029556,8.78,-253.33,40.87,8.27,0.0000,0.8611,0.0011252217019432395,1,1.96e-07,0.549832
17,0.10444990457290457,0.10444990457290457,2.2808906253511974,41.35930555551056,248.15583333306336,9.88,-247.96,46.24,9.34,0.0000,0.8428,2.6264278606437156e-06,1,4.86e-10,0.551933
18,0.10895252730627579,0.10895252730627579,2.6072911368739495,40.419643362347735,242.51786017408642,11.03,-242.27,51.93,10.47,0.0000,0.8235,8.954271984054854e-06,1,1.60e-09,0.554368
19,0.11307277709785649,0.11307277709785649,2.968573429868084,39.42657556495647,236.55945338973885,12.25,-236.24,57.96,11.67,0.0000,0.8030,2.0662708267220985e-05,1,3.64e-09,0.557155
20,0.11687182530741737,0.11687182530741737,3.3690475367433534,38.38042222566048,230.2825333539629,13.53,-229.88,64.31,12.93,0.0000,0.7814,4.2337292254649996e-07,1,9.12e-11,0.560303
21,0.12033089672712123,0.12033089672712123,3.8136832302182673,37.281836236324146,223.69101741794486,14.88,-223.20,71.00,14.26,0.0000,0.7587,5.220034766997642e-06,1,1.08e-09,0.563822
22,0.1234728412535625,0.1234728412535625,4.308478712828301,36.13144329654664,216.78865977927984,16.29,-216.18,78.02,15.65,0.0000,0.7348,3.8456130308094046e-05,1,7.50e-09,0.567715
23,0.12641472723380148,0.12641472723380148,4.860842975815837,34.92953260620786,209.57719563724714,17.76,-208.82,85.38,17.11,0.0000,0.7098,1.8492325783240914e-07,1,1.18e-10,0.571985
24,0.1290510559021115,0.1290510559021115,5.479228536254564,33.67750862842431,202.0650517705459,19.29,-201.14,93.06,18.63,0.0000,0.6837,3.202609666891751e-05,1,6.33e-09,0.575660
25,0.13152930438941987,0.13152930438941987,6.174571956442595,32.375746104259086,194.2544766255545,20.89,-193.13,101.07,20.22,0.0000,0.6565,1.6893392141081818e-07,1,3.41e-11,0.578340
